iter	Passed	Remaining
0	8	1778
1	17	1761
2	25	1693
3	33	1634
4	40	1576
5	48	1558
6	55	1535
7	63	1520
8	71	1514
9	79	1512
10	89	1544
11	99	1553
12	107	1540
13	116	1551
14	124	1532
15	131	1512
16	139	1503
17	147	1495
18	156	1489
19	163	1475
20	170	1456
21	177	1439
22	184	1423
23	192	1412
24	200	1402
25	208	1395
26	215	1381
27	222	1366
28	229	1355
29	236	1342
30	243	1328
31	250	1316
32	258	1306
33	265	1294
34	272	1283
35	278	1269
36	285	1259
37	293	1249
38	300	1239
39	307	1229
40	314	1219
41	321	1209
42	329	1201
43	337	1195
44	344	1184
45	351	1175
46	358	1166
47	365	1156
48	371	1146
49	378	1135
50	385	1126
51	394	1121
52	401	1114
53	408	1104
54	415	1096
55	422	1087
56	429	1078
57	437	1070
58	444	1061
59	451	1053
60	458	1044
61	465	1036
62	472	1028
63	480	1020
64	487	1013
65	494	1004
66	501	996
67	508	987
68	516	979
69	522	970
70	529	961
71	536	953
72	543	945
73	550	936
74	557	928
75	564	920
76	571	913
77	578	904
78	585	896
79	592	888
80	599	880
81	606	872
82	612	863
83	619	855
84	624	844
85	631	836
86	638	828
87	645	821
88	652	814
89	659	806
90	666	798
91	673	790
92	680	783
93	688	776
94	695	768
95	702	760
96	709	753
97	717	746
98	724	738
99	731	731
100	738	723
101	744	715
102	750	706
103	757	698
104	763	690
105	769	682
106	776	674
107	782	666
108	789	659
109	796	651
110	802	643
111	809	635
112	815	628
113	822	620
114	828	612
115	835	605
116	842	597
117	849	589
118	855	582
119	861	574
120	868	566
121	874	559
122	881	551
123	887	543
124	893	535
125	899	528
126	906	520
127	913	513
128	920	506
129	927	499
130	933	491
131	940	484
132	947	477
133	954	470
134	961	462
135	968	455
136	975	448
137	982	441
138	989	434
139	996	427
140	1003	419
141	1009	412
142	1016	405
143	1022	397
144	1029	390
145	1036	383
146	1042	376
147	1049	368
148	1056	361
149	1062	354
150	1068	346
151	1075	339
152	1085	333
153	1091	326
154	1096	318
155	1102	310
156	1108	303
157	1115	296
158	1121	289
159	1128	282
160	1134	274
161	1142	267
162	1148	260
163	1155	253
164	1161	246
165	1168	239
166	1174	232
167	1180	224
168	1187	217
169	1193	210
170	1200	203
171	1206	196
172	1213	189
173	1219	182
174	1225	175
175	1233	168
176	1239	161
177	1246	154
178	1252	146
179	1258	139
180	1265	132
181	1271	125
182	1278	118
183	1284	111
184	1291	104
185	1298	97
186	1304	90
187	1311	83
188	1317	76
189	1323	69
190	1329	62
191	1336	55
192	1343	48
193	1349	41
194	1356	34
195	1363	27
196	1370	20
197	1376	13
198	1383	6
199	1390	0
